Time Number Z,HT Phase Current Z,x,x_sq,x_cube,x_four,x_five,x_six,,,,,,,,
-2.015544834,-0.79659938,-2.015544834,4.062420976,-8.187991609,16.50326419,-33.26306886,67.0432066,,,,,,,,
-2.0154993,-0.694973,-2.0154993,4.062237429,-8.187436694,16.50177293,-33.25931178,67.03411962,,,,,,,,
-2.015453767,-0.556482148,-2.015453767,4.062053885,-8.186881803,16.50028177,-33.25555504,67.02503366,,,,,,,,
-2.015408233,-0.479764194,-2.015408233,4.061870346,-8.186326938,16.49879071,-33.25179863,67.01594874,,,,,,,,
-2.0153627,-0.400057229,-2.0153627,4.061686811,-8.185772098,16.49729975,-33.24804257,67.00686483,,,,,,,,
-2.015317035,-0.345590803,-2.015317035,4.061502752,-8.185215684,16.4958046,-33.24427602,66.99775579,,,,,,,,
-2.015271502,-0.483749542,-2.015271502,4.061319225,-8.184660893,16.49431385,-33.24052064,66.98867394,,,,,,,,
-2.015225968,-0.622904619,-2.015225968,4.061135703,-8.184106128,16.4928232,-33.23676559,66.97959312,,,,,,,,
-2.015180435,-0.511979092,-2.015180435,4.060952184,-8.183551388,16.49133264,-33.23301089,66.97051333,,,,,,,,
-2.01513477,-0.712574954,-2.01513477,4.060768141,-8.182995075,16.4898379,-33.2292457,66.9614084,,,,,,,,
-2.015089237,-0.719549314,-2.015089237,4.060584631,-8.182440385,16.48834755,-33.22549168,66.95233066,,,,,,,,
-2.015043703,-0.829146391,-2.015043703,4.060401126,-8.18188572,16.4868573,-33.22173799,66.94325394,,,,,,,,
-2.01499817,-0.833795964,-2.01499817,4.060217624,-8.181331081,16.48536715,-33.21798464,66.93417825,,,,,,,,
-2.014952636,-0.84741257,-2.014952636,4.060034126,-8.180776466,16.48387711,-33.21423163,66.92510359,,,,,,,,
-2.014906972,-0.876638457,-2.014906972,4.059850104,-8.180220278,16.48238287,-33.21046815,66.9160038,,,,,,,,
-2.014861438,-0.92778376,-2.014861438,4.059666615,-8.179665714,16.48089302,-33.20671582,66.90693119,,,,,,,,
-2.014815905,-0.924130524,-2.014815905,4.05948313,-8.179111175,16.47940328,-33.20296383,66.89785961,,,,,,,,
-2.014770371,-0.895568861,-2.014770371,4.059299649,-8.17855666,16.47791364,-33.19921218,66.88878905,,,,,,,,
-2.014724707,-0.891251401,-2.014724707,4.059115643,-8.178000573,16.47641981,-33.19545006,66.87969338,,,,,,,,
-2.014679173,-0.839773986,-2.014679173,4.058932171,-8.177446109,16.47493037,-33.19169909,66.87062487,,,,,,,,
-2.01463364,-0.821175694,-2.01463364,4.058748702,-8.17689167,16.47344103,-33.18794845,66.86155739,,,,,,,,
-2.014588106,-0.811212323,-2.014588106,4.058565238,-8.176337256,16.47195179,-33.18419816,66.85249093,,,,,,,,
-2.014542573,-0.714567628,-2.014542573,4.058381778,-8.175782868,16.47046265,-33.18044821,66.8434255,,,,,,,,
-2.014496908,-0.513307542,-2.014496908,4.058197793,-8.175226906,16.46896933,-33.17668779,66.83433497,,,,,,,,
-2.014451375,-0.554821586,-2.014451375,4.058014341,-8.174672567,16.46748039,-33.17293851,66.82527159,,,,,,,,
-2.014405841,-0.394743431,-2.014405841,4.057830893,-8.174118254,16.46599156,-33.16918957,66.81620923,,,,,,,,
-2.014360308,-0.384115836,-2.014360308,4.05764745,-8.173563965,16.46450282,-33.16544098,66.8071479,,,,,,,,
-2.014314643,-0.117097503,-2.014314643,4.057463481,-8.173008105,16.4630099,-33.16168192,66.79806148,,,,,,,,
-2.01426911,-0.013478449,-2.01426911,4.057280046,-8.172453866,16.46152137,-33.157934,66.7890022,,,,,,,,
-2.014223576,0.110399459,-2.014223576,4.057096615,-8.171899653,16.46003294,-33.15418642,66.77994394,,,,,,,,
-2.014178043,0.044309101,-2.014178043,4.056913188,-8.171345465,16.45854461,-33.15043918,66.7708867,,,,,,,,
-2.014132509,-0.059642066,-2.014132509,4.056729765,-8.170791301,16.45705639,-33.14669228,66.76183049,,,,,,,,
-2.014086845,0.126672965,-2.014086845,4.056545818,-8.170235566,16.45556397,-33.14293492,66.75274921,,,,,,,,
-2.014041311,-0.229683591,-2.014041311,4.056362403,-8.169681453,16.45407595,-33.13918869,66.74369505,,,,,,,,
-2.013995778,-0.186176873,-2.013995778,4.056178993,-8.169127365,16.45258802,-33.13544281,66.73464191,,,,,,,,
-2.013950244,0.517569205,-2.013950244,4.055995587,-8.168573302,16.4511002,-33.13169726,66.7255898,,,,,,,,
-2.01390458,0.76798192,-2.01390458,4.055811656,-8.168017668,16.44960819,-33.12794126,66.71651262,,,,,,,,
-2.013859046,0.761671786,-2.013859046,4.055628258,-8.167463655,16.44812057,-33.1241964,66.70746256,,,,,,,,
-2.013813513,0.528196801,-2.013813513,4.055444864,-8.166909668,16.44663305,-33.12045187,66.69841352,,,,,,,,
-2.013767979,-0.173888716,-2.013767979,4.055261474,-8.166355705,16.44514563,-33.11670768,66.6893655,,,,,,,,
-2.013722446,-0.004511415,-2.013722446,4.055078089,-8.165801767,16.44365831,-33.11296383,66.6803185,,,,,,,,
-2.013676781,-0.378802038,-2.013676781,4.054894179,-8.165246259,16.4421668,-33.10920952,66.67124646,,,,,,,,
-2.013631248,-0.396736106,-2.013631248,4.054710802,-8.164692371,16.44067969,-33.10546635,66.66220152,,,,,,,,
-2.013585714,-0.258909479,-2.013585714,4.054527429,-8.164138509,16.43919267,-33.10172352,66.65315759,,,,,,,,
-2.013540181,-0.006836202,-2.013540181,4.05434406,-8.163584672,16.43770576,-33.09798102,66.64411469,,,,,,,,
-2.013494516,0.345867118,-2.013494516,4.054160167,-8.163029263,16.43621466,-33.09422808,66.63504675,,,,,,,,
-2.013448983,0.163869548,-2.013448983,4.053976806,-8.162475476,16.43472794,-33.09048626,66.6260059,,,,,,,,
-2.013403449,-0.26621595,-2.013403449,4.05379345,-8.161921714,16.43324133,-33.08674478,66.61696607,,,,,,,,
-2.013357916,0.090472718,-2.013357916,4.053610097,-8.161367977,16.43175482,-33.08300364,66.60792726,,,,,,,,
-2.013312382,0.759346999,-2.013312382,4.053426749,-8.160814265,16.43026841,-33.07926284,66.59888947,,,,,,,,
-2.013266718,0.064567954,-2.013266718,4.053242877,-8.160258982,16.42877782,-33.07551159,66.58982666,,,,,,,,
-2.013221184,-0.188169547,-2.013221184,4.053059537,-8.159705321,16.42729161,-33.07177147,66.58079092,,,,,,,,
-2.013175651,0.026042921,-2.013175651,4.052876201,-8.159151684,16.4258055,-33.06803168,66.5717562,,,,,,,,
-2.013130117,0.62683417,-2.013130117,4.05269287,-8.158598072,16.42431949,-33.06429223,66.5627225,,,,,,,,
-2.013084453,0.547127205,-2.013084453,4.052509014,-8.15804289,16.42282931,-33.06054235,66.5536638,,,,,,,,
-2.013038919,0.835400728,-2.013038919,4.05232569,-8.157489328,16.4213435,-33.05680358,66.54463214,,,,,,,,
-2.012993386,0.911454457,-2.012993386,4.052142371,-8.156935792,16.4198578,-33.05306514,66.53560151,,,,,,,,
-2.012947852,0.90614066,-2.012947852,4.051959056,-8.15638228,16.41837219,-33.04932705,66.5265719,,,,,,,,
-2.012902319,0.659049068,-2.012902319,4.051775746,-8.155828794,16.41688669,-33.04558929,66.51754332,,,,,,,,
-2.012856654,0.78060219,-2.012856654,4.051591911,-8.155273738,16.41539701,-33.0418411,66.50848973,,,,,,,,
-2.012811121,0.790897673,-2.012811121,4.051408608,-8.154720301,16.41391171,-33.03810402,66.49946319,,,,,,,,
-2.012765587,0.86097338,-2.012765587,4.05122531,-8.15416689,16.41242651,-33.03436728,66.49043767,,,,,,,,
-2.012720054,0.870604638,-2.012720054,4.051042015,-8.153613504,16.41094141,-33.03063088,66.48141317,,,,,,,,
-2.012674389,0.82576947,-2.012674389,4.050858197,-8.153058548,16.40945213,-33.02688405,66.47236368,,,,,,,,
-2.012628856,0.764328684,-2.012628856,4.050674911,-8.152505212,16.40796724,-33.02314832,66.46334123,,,,,,,,
-2.012583322,0.799532594,-2.012583322,4.050491629,-8.151951901,16.40648244,-33.01941294,66.45431979,,,,,,,,
-2.012537789,0.769642482,-2.012537789,4.050308352,-8.151398615,16.40499774,-33.01567789,66.44529937,,,,,,,,
-2.012492255,0.772299381,-2.012492255,4.050125078,-8.150845354,16.40351315,-33.01194318,66.43627998,,,,,,,,
-2.012446591,0.729789,-2.012446591,4.049941281,-8.150290523,16.40202438,-33.00819804,66.42723562,,,,,,,,
-2.012401057,0.700895225,-2.012401057,4.049758016,-8.149737313,16.40053998,-33.00446401,66.41821826,,,,,,,,
-2.012355524,0.635801203,-2.012355524,4.049574755,-8.149184127,16.39905569,-33.00073031,66.40920193,,,,,,,,
